Yoga-Asan,Description,Benefits,Level,Contraindication,Balancing posture,Instructions,Breathing,Source,Video link,Photo
Adho Mukha Shvanasana,"An inversion asana, often practised as part of a flowing sequence of poses, especially Surya Namaskar","Positive effects on the musculoskeletal system. It stretches the hamstring and calf muscles in the backs of the legs, and builds strength in the shoulders.","Estorative pose for experienced practitioners, but can be hard work for beginners","Sprinters would develop ""speed and lightness in the legs"", and that the pose would soften calcaneal spurs, strengthen the ankles, counteract stiffness and arthritis in the shoulders, strengthen the abdominal muscles, and slow the heart.","The pose has the head down, ultimately touching the floor, with the weight of the body on the palms and the feet. The arms are stretched straight forward, shoulder width apart; the feet are a foot apart, the legs are straight, and the hips are raised as high as possible.","Bending one knee and lowering the hip on that side; alternately ""pedalling"" by bending one knee and raising the ankle on that side, then the other, and then hooking each foot in turn behind the other ankle; raising one leg, either stretching it straight out, or bending the knee, and flexing and extending the foot; alternating between bending both knees and straightening the legs while bringing the shoulders forward directly above the hands; and twisting the body, reaching back with one hand to grasp the opposite ankle",,,,https://drive.google.com/file/d/1KG1FVYtxUjf1zsD5h4DdVe7Sf-0NNx1n/view?usp=sharing
Adho Mukha Vrikshasana,"An asana in which the performer of the asana assumes the pose of an inverted tree, he stands on his hands. Therefore this asana is called Adho Mukha Vrksasana i.e. Tilted Tree Pose or Handstand Pose. ","makes your shoulders, wrists and arms strong. It enhances your sense of balance and enables you to get a better balance. The asana enhances the blood circulation in the body. The Handstand Pose calms your nerves and brain, keeps you relaxed","Advanced level, generally performed in many athletic activities, including acro dance, cheerleading, circus, yoga, calisthenics, and gymnastics","People with spine, hip, ankle, wrist, knee, and shoulder surgeries or injuries should avoid this pose.",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,"Bring your feet together at the middline; spread your palms and press them into the floor.Step your right foot forward halfway to your hands and bringing your shoulders over your wrists.Keep your arms firm.Once you have found balance, draw your legs together.",,,,https://drive.google.com/file/d/1jFwR_oCQRVqgrQdrOKqR_Zbf-qW9m3o0/view?usp=sharing
Akarna Dhanurasana,The posture resembles an archer about to release an arrow. Involves pulling the foot towards the ear from a seated position with the legs outstretched. ,"Back bending will strengthen your back and abdominal muscles and enhance your spine, helping relieve pain.The bow pose stimulates the reproductive organs and helps in improving menstrual disorders.",Difficult pose. Requires both strength and flexibility. ,"Avoid it while recovering from a recent surgery around the shoulders, spine, arms, or hips.People with a herniated disk or lower back issues must avoid this asana.Women during pregnancy and menstruation must avoid this pose.","It is performed dandasana like sitting position on the floor stretching the legs, arms, and spinal muscles. It requires great strength and balance to hold the pose.","Sit on the floor. Stretch your legs out in front of you.Bend forward and stretch your arms to hold your toes.Keep your torso as erect as you can.Inhale. Bring your left foot up to your left ear.Keep your hold on the other leg.Maintain the posture.Repeat the movement on the other side.
",,,,https://drive.google.com/file/d/1D64ZRVWzr-B7X5GrvL4OBL5xhFif_9Io/view?usp=sharing
Anantasana,Anantasana is referred to as the Sleeping Vishnu Pose because it resembles the posture of Lord Vishnu while he sat on the snake.,"Tones and Better Blood Circulation: The practice of Ananthasana (Side Reclining Leg Lift Pose) stretches the muscles of both the upper body and the lower body thereby toning and reducing the excess fat at the tummy, hips, chest, legs, and arms.",Relatively easy pose that can be mastered with practice.,"Do not do this asana is you are suffering from any injury or severe pain in Knee, neck, or shoulders or, If you are having any Spine issues or Spondylitis, you should also not perform this asana.","The head is supported with one hand, the upper arm on the ground on that side; the other hand and leg are stretched straight up, the fingers grasping the big toe of the raised foot. The supporting arm, body, and lower leg are in a straight line",Begin by lying on your back. Stretch your right arm to the back of your mat. Bend your right arm and lift your head.Flex both feet.Flex both feet. Try to keep your whole body in one line from elbow to heels. Bend your left knee and take hold of the big toe with your left hand in a yogi toe lock.,While taking Legs up towards the ceiling- Inhale. Doing the Pose- Breathe normally. Coming out of the pose (Bringing the leg down)- Inhale. ,,,https://drive.google.com/file/d/13CJ6pQZlovqk2m9NCFlKWujIpiWZHamg/view?usp=sharing
Anjaneyasana,"A lunging back bending asana in modern yoga as exercise. It is sometimes included as one of the asanas in the Surya Namaskar sequence, though usually with arms down in that case.","Strengthens the quadriceps, gluteus maximus, and hamstrings.Engages the deep core muscles, which help create stability.Can help alleviate pain cause by sciatica. Opens the hip flexors and strengthens the hip extensors.",Basic level aasan,"Those with high blood pressure or heart problems, injuries to the lower back, quadriceps, groin, knees, or hips should practice this pose with great care.For those with neck, and upper back issues, it is important not to strain the chin forward, causing compression in the neck muscles and upper spine.","To improve balance practice this pose facing a wall. Press the big toe of the front foot against the wall and stretch your arms up, finger tips to the wall.","Rotate your upper body towards your right. Bend your right knee and lift the back heel off the floor. Exhale lowering the left knee and resting the lower leg on the floor with toes point back. Inhale, raise your arms joining the palms above the head.",,,,https://drive.google.com/file/d/126-n5kWgJYZhpPKsfg2WbNNkzv35k2H8/view?usp=sharing
Ardha Chandrasana,"The name comes from the Sanskrit words ardha meaning ""half"", candra meaning ""moon"", and āsana meaning ""posture"" or ""seat"".","Strengthens ankles, knees and legs.Roots thighbones to help alleviate backpain.Strengthens abdomen, buttocks and spine.Opens chest and shoulders.",Is quite a challenging yoga asana.,"Avoid this yoga asana if you're suffering from neck, spinal or hip injury, ulcers or hernia.Avoid performing Ardha Chakrasana if you have high blood pressure.Be extra careful when attempting this asana if you have vertigo.",This Asana is done balancing on one leg while the other is raised from the floor and this alignment requires strong legs and flexibility. A beginner who intends to do this posture must first gain some strength and flexibility in the legs by practicing the fundamental postures,"Begin to straighten your right leg while simultaneously lifting your left foot off the floor. Keep your left leg as straight as possible. Open your hips, stacking the left hip point on top of the right hip point. Bring your left leg straight and parallel to the floor.",,,,https://drive.google.com/file/d/1run19Z0ASn6-YLGuLVt84__sln75vZ4X/view?usp=sharing
Ashtanga Namaskara,"A asana sometimes used in the Surya Namaskar sequence in modern yoga as exercise, where the body is balanced on eight points of contact with the floor: feet, knees, chest, chin and hands.","It is a great posture and exercise for arm balancing. Increases strength of arms and shoulders, strengthens biceps and triceps.Increases strength of abdomen, knees and chest.Improves stability, flexibility and mobility of the back and spine.Relieves backache.",A beginner level eight-limbed pose,"The shape of the pose can cause lower back pain from the excessive arching this pose encourages. If you have a hyper-mobile lower back or lower back injury, practice with caution and be sure to tone your belly (transverse abdominus) to protect your lower back.If you have a herniated vertebral disc or spondylolisthesis, it is likely best to avoid this pose.","In this pose, the body touches the ground in eight locations – the two feet (toes), the two knees, the two palms, the chest and the head.","Inhale, bend the elbows and slowly lower the chest and shoulders between the palms as you exhale. Come down and rest the chest on the floor and exhale out completely. While here, the hips are raised up engaging the pelvis and abdomen.",While performing this pose the breath is held outside and the breathing is stopped for few seconds.,,,https://drive.google.com/file/d/18s5mDamgeS0ENjDTsX0eG_zqtqDtg6_1/view?usp=sharing
Astavakrasana,"The practice of “Ashtavakrasana” described in yoga affects the eight organs of the body. The Sanskrit word Ashtavakrasana means Ashta + Curve + Asana, that is, a crooked body from eight places.","Develops nervous control.Reverses the flow of Apana.Directs the energy to Manipura chakra.Strengthens the wrists, leg, and arm muscles.Strengthens the abdominal muscles.","A challenging but rewarding posture that requires strength, flexibility, balance, and confidence.","Injury of the shoulders, arms, wrists, neck, hips, knees, lower back, ankles, feet and pelvis, are all contraindications, hence should be avoided. People with Carpal Tunnel Syndrome should also avoid practising this pose.",Don't place your hands too close to your hips. They need to be about a foot in front of your hips so you can bend your elbows and lift your hips.If your outer elbow isn't close to your ribs your outer shoulder will drop too low and you will have increased pressure on it.,Press your palms on the floor and lift your hips and legs off the floor. Now bend your left knee and hook the left ankle with the right ankle. Extend both legs towards the right. Shift your weight ahead and bend your arms at the elbows while keeping your shoulders square.,"To exit the pose, inhale to lift your chest and swing your legs back toward the center of the mat. Exhale, uncross your ankles, and return to Dandasana.",,,https://drive.google.com/file/d/1IiPoAf6Tfdj6xhrftLvX_eS-3L7DA4RQ/view?usp=sharing
Baddha Konasana/ Bhadrasana,"A seated asana in hatha yoga and modern yoga as exercise. If the knees rest on the floor, it is suitable as a meditation seat","Strengthens and improves flexibility in the inner thighs, groins and the knees.Helps prepare the hips and groins for meditative seated poses, which require more flexibility in these areas.Helps to sooth menstrual discomfort and digestive complaints.","Baddha Konasana is a beginner-level, base, and meditative pose. It is a seated position.","Not to be practiced if there in injury at the knees, neck and hips.Someone suffering from severe sciatica.For someone suffering from lower back pain, going into supine position would be a challenge.",Begin seated in Staff Pose (Dandasana) with your legs outstretched straight in front of you. Bend your knees and bring the soles of your feet together as you let your knees fall out to either side. Draw your feet in as close to your body as is comfortable. Back off if you feel any pain in your knees. ,Sit in the Dandasana (Staff Pose).Now Bend your knees and join the soles of your feet.Now hold your feet or ankles.Move your heels to the groin as so much as doable.Breathe out and let down your knees to the ground.,,,,https://drive.google.com/file/d/1VXObE5iCvsGGkidOv0ISW_CAZyZaTD7D/view?usp=sharing
Bakasana/ Kakasana,"It is consisted of two words ‘Baka’ means crane and ‘asana’ shows Yoga pose. Therefore, it is also known as Crane pose.","Arms strengthen, core to help hold you up,glutes and adductors,shoulder stabilizers.It helps make your wrists stronger.Stretches your upper back and groin.Your spine is toned and strengthened.",Bakasana is a mid-level balance posture.,"This asana should not be practiced in case of high blood pressure,people suffering from heart diseases, while having shoulder pain, wrist or shoulder injury or carpal tunnel syndrome, during pregnancy.",Parsva Bakasana wherein the one thigh rested on the opposite arm while the other thigh is kept above of it. Eka Pada Bakasana wherein one shin is rested upon the upper arm while the other leg is kept straight back.,First of all sit in Kagasana.Place your hands on the ground in front of your feet.Press the arms downward and lift the legs above the ground while keeping your knees bent.Ensure that your shins are properly rested upon your upper arms.Maintain it as long as you can with normal breathing.,,,,https://drive.google.com/file/d/1-Jwt-f5QLsI9ILWExuLM8Ia_j1Jrgvi5/view?usp=sharing
